table_name,column_name,type,nullable,default,is_primary_key,foreign_key
rag_chunks,id,BIGINT,False,nextval('rag_chunks_id_seq'::regclass),True,
rag_chunks,season_year,INTEGER,True,,False,
rag_chunks,season_id,INTEGER,True,,False,
rag_chunks,league_type_code,INTEGER,True,,False,
rag_chunks,team_id,VARCHAR(10),True,,False,
rag_chunks,player_id,VARCHAR(20),True,,False,
rag_chunks,source_table,TEXT,False,,False,
rag_chunks,source_row_id,TEXT,False,,False,
rag_chunks,title,TEXT,True,,False,
rag_chunks,content,TEXT,False,,False,
rag_chunks,content_tsv,TSVECTOR,True,,False,
rag_chunks,embedding,NULL,True,,False,
rag_chunks,meta,JSONB,True,'{}'::jsonb,False,
rag_chunks,created_at,TIMESTAMP,True,now(),False,
rag_chunks,updated_at,TIMESTAMP,True,now(),False,
vote_final_results,game_id,VARCHAR,False,,False,
vote_final_results,final_votes_a,INTEGER,False,,False,
vote_final_results,final_votes_b,INTEGER,False,,False,
vote_final_results,final_winner,VARCHAR,False,,False,
vote_final_results,updated_at,TIMESTAMP,False,,False,
kbo_seasons,season_id,INTEGER,False,,False,
kbo_seasons,season_year,INTEGER,False,,False,
kbo_seasons,league_type_code,INTEGER,False,,False,
kbo_seasons,league_type_name,VARCHAR,False,,False,
kbo_seasons,start_date,DATE,True,,False,
kbo_seasons,end_date,DATE,True,,False,
kbo_seasons,created_at,TIMESTAMP,True,,False,
kbo_seasons,updated_at,TIMESTAMP,True,,False,
team_history,id,INTEGER,False,,False,
team_history,franchise_id,INTEGER,False,,False,
team_history,season,INTEGER,False,,False,
team_history,team_name,VARCHAR,False,,False,
team_history,team_code,VARCHAR,False,,False,
team_history,logo_url,VARCHAR,True,,False,
team_history,ranking,INTEGER,True,,False,
team_history,stadium,VARCHAR,True,,False,
team_history,city,VARCHAR,True,,False,
team_history,color,VARCHAR,True,,False,
team_history,created_at,TIMESTAMP,False,,False,
team_history,updated_at,TIMESTAMP,False,,False,
team_profiles,team_id,VARCHAR,False,,False,
team_profiles,profile,VARCHAR,False,,False,
team_franchises,id,INTEGER,False,,False,
team_franchises,name,VARCHAR,False,,False,
team_franchises,original_code,VARCHAR,False,,False,
team_franchises,current_code,VARCHAR,False,,False,
team_franchises,created_at,TIMESTAMP,False,,False,
team_franchises,updated_at,TIMESTAMP,False,,False,
team_franchises,metadata_json,JSONB,True,,False,
team_franchises,web_url,VARCHAR,True,,False,
stadiums,stadium_id,VARCHAR,False,,False,
stadiums,stadium_name,VARCHAR,False,,False,
stadiums,city,VARCHAR,False,,False,
stadiums,open_year,INTEGER,False,,False,
stadiums,capacity,INTEGER,False,,False,
stadiums,seating_capacity,INTEGER,False,,False,
stadiums,left_fence_m,DOUBLE PRECISION,False,,False,
stadiums,center_fence_m,DOUBLE PRECISION,False,,False,
stadiums,fence_height_m,DOUBLE PRECISION,True,,False,
stadiums,turf_type,VARCHAR,False,,False,
stadiums,bullpen_type,VARCHAR,True,,False,
stadiums,homerun_park_factor,DOUBLE PRECISION,True,,False,
stadiums,notes,TEXT,True,,False,
stadiums,created_at,TIMESTAMP,True,,False,
stadiums,updated_at,TIMESTAMP,True,,False,
stadiums,lat,DOUBLE PRECISION,True,,False,
stadiums,lng,DOUBLE PRECISION,True,,False,
stadiums,address,VARCHAR,True,,False,
stadiums,phone,VARCHAR,True,,False,
stadiums,team,VARCHAR,True,,False,
player_basic,player_id,INTEGER,False,,False,
player_basic,name,VARCHAR,False,,False,
player_basic,uniform_no,VARCHAR,True,,False,
player_basic,team,VARCHAR,True,,False,
player_basic,position,VARCHAR,True,,False,
player_basic,birth_date,VARCHAR,True,,False,
player_basic,birth_date_date,DATE,True,,False,
player_basic,height_cm,INTEGER,True,,False,
player_basic,weight_kg,INTEGER,True,,False,
player_basic,career,VARCHAR,True,,False,
player_basic,status,VARCHAR,True,,False,
player_basic,staff_role,VARCHAR,True,,False,
player_basic,status_source,VARCHAR,True,,False,
player_season_batting,id,INTEGER,False,,False,
player_season_batting,player_id,INTEGER,False,,False,
player_season_batting,season,INTEGER,False,,False,
player_season_batting,league,VARCHAR,False,,False,
player_season_batting,level,VARCHAR,False,,False,
player_season_batting,source,VARCHAR,False,,False,
player_season_batting,team_code,VARCHAR,True,,False,
player_season_batting,games,INTEGER,True,,False,
player_season_batting,plate_appearances,INTEGER,True,,False,
player_season_batting,at_bats,INTEGER,True,,False,
player_season_batting,runs,INTEGER,True,,False,
player_season_batting,hits,INTEGER,True,,False,
player_season_batting,doubles,INTEGER,True,,False,
player_season_batting,triples,INTEGER,True,,False,
player_season_batting,home_runs,INTEGER,True,,False,
player_season_batting,rbi,INTEGER,True,,False,
player_season_batting,walks,INTEGER,True,,False,
player_season_batting,intentional_walks,INTEGER,True,,False,
player_season_batting,hbp,INTEGER,True,,False,
player_season_batting,strikeouts,INTEGER,True,,False,
player_season_batting,stolen_bases,INTEGER,True,,False,
player_season_batting,caught_stealing,INTEGER,True,,False,
player_season_batting,sacrifice_hits,INTEGER,True,,False,
player_season_batting,sacrifice_flies,INTEGER,True,,False,
player_season_batting,gdp,INTEGER,True,,False,
player_season_batting,avg,DOUBLE PRECISION,True,,False,
player_season_batting,obp,DOUBLE PRECISION,True,,False,
player_season_batting,slg,DOUBLE PRECISION,True,,False,
player_season_batting,ops,DOUBLE PRECISION,True,,False,
player_season_batting,iso,DOUBLE PRECISION,True,,False,
player_season_batting,babip,DOUBLE PRECISION,True,,False,
player_season_batting,extra_stats,JSONB,True,,False,
player_season_batting,created_at,TIMESTAMP,True,,False,
player_season_batting,updated_at,TIMESTAMP,True,,False,
player_season_batting,season_id,INTEGER,True,,False,
player_season_pitching,id,INTEGER,False,,False,
player_season_pitching,player_id,INTEGER,False,,False,
player_season_pitching,season,INTEGER,False,,False,
player_season_pitching,league,VARCHAR,False,,False,
player_season_pitching,level,VARCHAR,False,,False,
player_season_pitching,source,VARCHAR,False,,False,
player_season_pitching,team_code,VARCHAR,True,,False,
player_season_pitching,games,INTEGER,True,,False,
player_season_pitching,games_started,INTEGER,True,,False,
player_season_pitching,wins,INTEGER,True,,False,
player_season_pitching,losses,INTEGER,True,,False,
player_season_pitching,saves,INTEGER,True,,False,
player_season_pitching,holds,INTEGER,True,,False,
player_season_pitching,innings_pitched,DOUBLE PRECISION,True,,False,
player_season_pitching,hits_allowed,INTEGER,True,,False,
player_season_pitching,runs_allowed,INTEGER,True,,False,
player_season_pitching,earned_runs,INTEGER,True,,False,
player_season_pitching,home_runs_allowed,INTEGER,True,,False,
player_season_pitching,walks_allowed,INTEGER,True,,False,
player_season_pitching,intentional_walks,INTEGER,True,,False,
player_season_pitching,hit_batters,INTEGER,True,,False,
player_season_pitching,strikeouts,INTEGER,True,,False,
player_season_pitching,wild_pitches,INTEGER,True,,False,
player_season_pitching,balks,INTEGER,True,,False,
player_season_pitching,era,DOUBLE PRECISION,True,,False,
player_season_pitching,whip,DOUBLE PRECISION,True,,False,
player_season_pitching,fip,DOUBLE PRECISION,True,,False,
player_season_pitching,k_per_nine,DOUBLE PRECISION,True,,False,
player_season_pitching,bb_per_nine,DOUBLE PRECISION,True,,False,
player_season_pitching,kbb,DOUBLE PRECISION,True,,False,
player_season_pitching,complete_games,INTEGER,True,,False,
player_season_pitching,shutouts,INTEGER,True,,False,
player_season_pitching,quality_starts,INTEGER,True,,False,
player_season_pitching,blown_saves,INTEGER,True,,False,
player_season_pitching,tbf,INTEGER,True,,False,
player_season_pitching,np,INTEGER,True,,False,
player_season_pitching,avg_against,DOUBLE PRECISION,True,,False,
player_season_pitching,doubles_allowed,INTEGER,True,,False,
player_season_pitching,triples_allowed,INTEGER,True,,False,
player_season_pitching,sacrifices_allowed,INTEGER,True,,False,
player_season_pitching,sacrifice_flies_allowed,INTEGER,True,,False,
player_season_pitching,extra_stats,JSONB,True,,False,
player_season_pitching,created_at,TIMESTAMP,True,,False,
player_season_pitching,updated_at,TIMESTAMP,True,,False,
player_season_pitching,season_id,INTEGER,True,,False,
player_season_pitching,innings_outs,INTEGER,True,,False,
player_season_pitching,innings_display,NUMERIC,True,,False,
stat_rankings,id,INTEGER,False,nextval('stat_rankings_id_seq'::regclass),True,
stat_rankings,season,INTEGER,False,,False,
stat_rankings,metric,VARCHAR(64),False,,False,
stat_rankings,entity_id,VARCHAR(64),False,,False,
stat_rankings,entity_label,VARCHAR(128),False,,False,
stat_rankings,entity_type,VARCHAR(16),False,,False,
stat_rankings,team_id,VARCHAR(10),True,,False,
stat_rankings,value,DOUBLE PRECISION,False,,False,
stat_rankings,rank,INTEGER,False,,False,
stat_rankings,is_tie,BOOLEAN,False,,False,
stat_rankings,source,VARCHAR(32),False,,False,
stat_rankings,extra,JSON,True,,False,
stat_rankings,created_at,TIMESTAMP,False,,False,
stat_rankings,updated_at,TIMESTAMP,False,,False,
teams,team_id,VARCHAR,False,,True,
teams,team_short_name,VARCHAR,False,,False,
teams,city,VARCHAR,False,,False,
teams,stadium_name,VARCHAR,True,,False,
teams,team_name,VARCHAR,False,,False,
teams,founded_year,INTEGER,True,,False,
teams,color,VARCHAR,True,,False,
teams,created_at,TIMESTAMP,False,,False,
teams,updated_at,TIMESTAMP,False,,False,
teams,franchise_id,INTEGER,True,,False,
teams,is_active,BOOLEAN,True,,False,
teams,aliases,ARRAY,True,,False,
game,id,BIGINT,False,,False,
game,game_id,VARCHAR,False,,False,
game,game_date,DATE,True,,False,
game,stadium,VARCHAR,True,,False,
game,home_team,VARCHAR,True,,False,
game,away_team,VARCHAR,True,,False,
game,away_score,INTEGER,True,,False,
game,home_score,INTEGER,True,,False,
game,away_pitcher,VARCHAR,True,,False,
game,home_pitcher,VARCHAR,True,,False,
game,winning_team,VARCHAR,True,,False,
game,winning_score,INTEGER,True,,False,
game,season_id,INTEGER,True,,False,
game,stadium_id,VARCHAR,True,,False,
game,game_status,VARCHAR,True,,False,
game,is_dummy,BOOLEAN,True,,False,
team_season_batting,id,INTEGER,False,nextval('team_season_batting_id_seq'::regclass),True,
team_season_batting,team_id,VARCHAR(10),False,,False,teams(team_id)
team_season_batting,team_name,VARCHAR(64),False,,False,
team_season_batting,season,INTEGER,False,,False,
team_season_batting,league,VARCHAR(16),False,,False,
team_season_batting,games,INTEGER,True,,False,
team_season_batting,plate_appearances,INTEGER,True,,False,
team_season_batting,at_bats,INTEGER,True,,False,
team_season_batting,runs,INTEGER,True,,False,
team_season_batting,hits,INTEGER,True,,False,
team_season_batting,doubles,INTEGER,True,,False,
team_season_batting,triples,INTEGER,True,,False,
team_season_batting,home_runs,INTEGER,True,,False,
team_season_batting,rbi,INTEGER,True,,False,
team_season_batting,stolen_bases,INTEGER,True,,False,
team_season_batting,caught_stealing,INTEGER,True,,False,
team_season_batting,walks,INTEGER,True,,False,
team_season_batting,strikeouts,INTEGER,True,,False,
team_season_batting,avg,DOUBLE PRECISION,True,,False,
team_season_batting,obp,DOUBLE PRECISION,True,,False,
team_season_batting,slg,DOUBLE PRECISION,True,,False,
team_season_batting,ops,DOUBLE PRECISION,True,,False,
team_season_batting,extra_stats,JSON,True,,False,
team_season_batting,created_at,TIMESTAMP,False,,False,
team_season_batting,updated_at,TIMESTAMP,False,,False,
game_inning_scores,id,INTEGER,False,,False,
game_inning_scores,game_id,VARCHAR,False,,False,
game_inning_scores,team_side,VARCHAR,False,,False,
game_inning_scores,team_code,VARCHAR,True,,False,
game_inning_scores,inning,INTEGER,False,,False,
game_inning_scores,runs,INTEGER,True,,False,
game_inning_scores,is_extra,BOOLEAN,True,,False,
game_inning_scores,created_at,TIMESTAMP,True,,False,
game_inning_scores,updated_at,TIMESTAMP,True,,False,
game_metadata,game_id,VARCHAR,False,,False,
game_metadata,stadium_code,VARCHAR,True,,False,
game_metadata,stadium_name,VARCHAR,True,,False,
game_metadata,attendance,INTEGER,True,,False,
game_metadata,start_time,TIME,True,,False,
game_metadata,end_time,TIME,True,,False,
game_metadata,game_time_minutes,INTEGER,True,,False,
game_metadata,weather,VARCHAR,True,,False,
game_metadata,source_payload,JSONB,True,,False,
game_metadata,created_at,TIMESTAMP,True,,False,
game_metadata,updated_at,TIMESTAMP,True,,False,
game_pitching_stats,id,INTEGER,False,,False,
game_pitching_stats,game_id,VARCHAR,False,,False,
game_pitching_stats,team_side,VARCHAR,False,,False,
game_pitching_stats,team_code,VARCHAR,True,,False,
game_pitching_stats,player_id,INTEGER,True,,False,
game_pitching_stats,player_name,VARCHAR,False,,False,
game_pitching_stats,is_starting,BOOLEAN,True,,False,
game_pitching_stats,appearance_seq,INTEGER,False,,False,
game_pitching_stats,innings_outs,INTEGER,True,,False,
game_pitching_stats,innings_pitched,NUMERIC,True,,False,
game_pitching_stats,batters_faced,INTEGER,True,,False,
game_pitching_stats,pitches,INTEGER,True,,False,
game_pitching_stats,hits_allowed,INTEGER,True,,False,
game_pitching_stats,runs_allowed,INTEGER,True,,False,
game_pitching_stats,earned_runs,INTEGER,True,,False,
game_pitching_stats,home_runs_allowed,INTEGER,True,,False,
game_pitching_stats,walks_allowed,INTEGER,True,,False,
game_pitching_stats,strikeouts,INTEGER,True,,False,
game_pitching_stats,hit_batters,INTEGER,True,,False,
game_pitching_stats,wild_pitches,INTEGER,True,,False,
game_pitching_stats,balks,INTEGER,True,,False,
game_pitching_stats,wins,INTEGER,True,,False,
game_pitching_stats,losses,INTEGER,True,,False,
game_pitching_stats,saves,INTEGER,True,,False,
game_pitching_stats,holds,INTEGER,True,,False,
game_pitching_stats,decision,VARCHAR,True,,False,
game_pitching_stats,era,DOUBLE PRECISION,True,,False,
game_pitching_stats,whip,DOUBLE PRECISION,True,,False,
game_pitching_stats,k_per_nine,DOUBLE PRECISION,True,,False,
game_pitching_stats,bb_per_nine,DOUBLE PRECISION,True,,False,
game_pitching_stats,kbb,DOUBLE PRECISION,True,,False,
game_pitching_stats,extra_stats,JSONB,True,,False,
game_pitching_stats,created_at,TIMESTAMP,True,,False,
game_pitching_stats,updated_at,TIMESTAMP,True,,False,
team_season_pitching,id,INTEGER,False,nextval('team_season_pitching_id_seq'::regclass),True,
team_season_pitching,team_id,VARCHAR(10),False,,False,teams(team_id)
team_season_pitching,team_name,VARCHAR(64),False,,False,
team_season_pitching,season,INTEGER,False,,False,
team_season_pitching,league,VARCHAR(16),False,,False,
team_season_pitching,games,INTEGER,True,,False,
team_season_pitching,wins,INTEGER,True,,False,
team_season_pitching,losses,INTEGER,True,,False,
team_season_pitching,ties,INTEGER,True,,False,
team_season_pitching,saves,INTEGER,True,,False,
team_season_pitching,holds,INTEGER,True,,False,
team_season_pitching,innings_pitched,DOUBLE PRECISION,True,,False,
team_season_pitching,runs_allowed,INTEGER,True,,False,
team_season_pitching,earned_runs,INTEGER,True,,False,
team_season_pitching,hits_allowed,INTEGER,True,,False,
team_season_pitching,home_runs_allowed,INTEGER,True,,False,
team_season_pitching,walks_allowed,INTEGER,True,,False,
team_season_pitching,strikeouts,INTEGER,True,,False,
team_season_pitching,era,DOUBLE PRECISION,True,,False,
team_season_pitching,whip,DOUBLE PRECISION,True,,False,
team_season_pitching,avg_against,DOUBLE PRECISION,True,,False,
team_season_pitching,extra_stats,JSON,True,,False,
team_season_pitching,created_at,TIMESTAMP,False,,False,
team_season_pitching,updated_at,TIMESTAMP,False,,False,
game_lineups,id,INTEGER,False,,False,
game_lineups,game_id,VARCHAR,False,,False,
game_lineups,team_side,VARCHAR,False,,False,
game_lineups,team_code,VARCHAR,True,,False,
game_lineups,player_id,INTEGER,True,,False,
game_lineups,player_name,VARCHAR,False,,False,
game_lineups,batting_order,INTEGER,True,,False,
game_lineups,position,VARCHAR,True,,False,
game_lineups,is_starter,BOOLEAN,True,,False,
game_lineups,appearance_seq,INTEGER,False,,False,
game_lineups,notes,VARCHAR,True,,False,
game_lineups,created_at,TIMESTAMP,True,,False,
game_lineups,updated_at,TIMESTAMP,True,,False,
award,id,BIGINT,False,,False,
award,award_type,VARCHAR,False,,False,
