필드명,설명,데이터 타입,제약 조건,FK 관계/비고
id,"PK, 기본 키",INT,PRIMARY KEY,
season_id,시즌 종류 정보,INT,FOREIGN KEY,kbo_seasons 테이블 참조
player_id,선수 정보,INT,FOREIGN KEY,player_basic 참조
team_id,팀 정보,VARCHAR,FOREIGN KEY,teams 참조
level,리그 레벨,VARCHAR,NOT NULL,"KBO1, KBO2 등"
source,데이터 출처,VARCHAR,NOT NULL,"CRAWLER, ROLLUP 등"
---,기본 타격 기록 항목,---,---,---
games,G (경기 수),INT,,
plate_appearances,PA (타석),INT,,
at_bats,AB (타수),INT,,
runs,R (득점),INT,,
hits,H (안타),INT,,
doubles,2B (2루타),INT,,
triples,3B (3루타),INT,,
home_runs,HR (홈런),INT,,
rbi,RBI (타점),INT,,
stolen_bases,SB (도루),INT,,나머지 시즌 포함 항목
caught_stealing,CS (도루실패),INT,,나머지 시즌 포함 항목
walks,BB (볼넷),INT,,
intentional_walks,IBB (고의사구),INT,,
hbp,HBP (사구),INT,,
strikeouts,SO (삼진),INT,,
sacrifice_hits,SAC (희생번트),INT,,
sacrifice_flies,SF (희생플라이),INT,,
gdp,GDP (병살타),INT,,
errors,E (실책),INT,,나머지 시즌 포함 항목
---,계산 및 부가 항목,---,---,---
avg,AVG (타율),DOUBLE PRECISION,,
obp,OBP (출루율),DOUBLE PRECISION,,
slg,SLG (장타율),DOUBLE PRECISION,,
ops,OPS (출루율+장타율),DOUBLE PRECISION,,
extra_stats,추가 통계,VARCHAR,,"MH, RISP, PH-BA 등 저장용 (JSON)"