필드명,설명,데이터 타입,제약 조건,FK 관계
id,"PK, 기본 키",INT,PRIMARY KEY,없음
season_id,시즌 종류 정보,INT,FOREIGN KEY,kbo_seasons_meta 참조
player_id,선수 정보,INT,FOREIGN KEY,player_basic 참조
team_id,팀 정보,VARCHAR,FOREIGN KEY,teams 참조
games,G (경기 수),INT,,
wins,W (승리),INT,,
losses,L (패배),INT,,
saves,SV (세이브),INT,,
holds,HLD (홀드),INT,,
ip,IP (이닝),DOUBLE PRECISION,,
hits,H (피안타),INT,,
home_runs,HR (피홈런),INT,,
walks,BB (볼넷),INT,,
hbp,HBP (사구),INT,,
strikeouts,SO (삼진),INT,,
runs,R (실점),INT,,
earned_runs,ER (자책점),INT,,
whip,WHIP,DOUBLE PRECISION,,
complete_games,CG (완투),INT,,
shutouts,SHO (완봉),INT,,
quality_starts,QS (퀄리티스타트),INT,,
blown_saves,BSV (블론세이브),INT,,
tbf,TBF (상대한 타자 수),INT,,
np,NP (투구수),INT,,
avg_against,AVG (피안타율),DOUBLE PRECISION,,
doubles_allowed,2B (2루타 허용),INT,,
triples_allowed,3B (3루타 허용),INT,,
sacrifices,SAC (희생번트 허용),INT,,
sacrifice_flies,SF (희생플라이 허용),INT,,
intentional_walks,IBB (고의사구),INT,,
wild_pitches,WP (폭투),INT,,
balks,BK (보크),INT,,
extra_stats,추가 스탯,VARCHAR,,